title,cateogory,published_time,href
Kerja Sama BNI & Pabrik Baja GRP Dinilai Dorong Ekonomi Berkelanjutan,detikFinance, 09 Jan 2023 20:45 WIB,https://finance.detik.com/moneter/d-6506772/kerja-sama-bni--pabrik-baja-grp-dinilai-dorong-ekonomi-berkelanjutan
Daftar Gaji Bankir yang Disebut Sri Mulyani Jadi Idaman Mertua,detikFinance, 09 Jan 2023 18:24 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6506475/daftar-gaji-bankir-yang-disebut-sri-mulyani-jadi-idaman-mertua
"Subsidi Bisa Geber Penggunaan Kendaraan Listrik, Ini yang Perlu Diperhatikan",detikFinance, 08 Jan 2023 18:00 WIB,https://finance.detik.com/industri/d-6504578/subsidi-bisa-geber-penggunaan-kendaraan-listrik-ini-yang-perlu-diperhatikan
Waspada! 3 Peringatan buat Ekonomi RI Kalau Mau Selamat Lewati 2023,detikFinance, 06 Jan 2023 08:00 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6500860/waspada-3-peringatan-buat-ekonomi-ri-kalau-mau-selamat-lewati-2023
"Faisal Basri Sebut Industri RI Kurang 'Ngotak', Apa Maksudnya?",detikFinance, 05 Jan 2023 14:13 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6499832/faisal-basri-sebut-industri-ri-kurang-ngotak-apa-maksudnya
Diam-diam Adira Finance Kasih 'Subsidi' Motor Listrik Hingga Rp 12 Juta per Unit,detikFinance, 05 Jan 2023 14:03 WIB,https://finance.detik.com/moneter/d-6499815/diam-diam-adira-finance-kasih-subsidi-motor-listrik-hingga-rp-12-juta-per-unit
"Pembiayaan Adira Finance Melesat, Capai Rp 31,7 T di 2022",detikFinance, 05 Jan 2023 13:50 WIB,https://finance.detik.com/moneter/d-6499789/pembiayaan-adira-finance-melesat-capai-rp-317-t-di-2022
"Ekspor RI Moncer Berbulan-bulan, Kok Rupiah Malah Memble?",detikFinance, 05 Jan 2023 13:38 WIB,https://finance.detik.com/bursa-dan-valas/d-6499752/ekspor-ri-moncer-berbulan-bulan-kok-rupiah-malah-memble
Ekonom Senior Sebut Jokowi Bakal Wariskan Utang Segunung di 2024,detikFinance, 05 Jan 2023 12:31 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6499542/ekonom-senior-sebut-jokowi-bakal-wariskan-utang-segunung-di-2024
"Ada Beasiswa S1 dari Mandiri Tunas Finance, Dapat Uang Tunai-Kesempatan Berkarier",detikEdu, 02 Jan 2023 08:00 WIB,https://www.detik.com/edu/beasiswa/d-6493268/ada-beasiswa-s1-dari-mandiri-tunas-finance-dapat-uang-tunai-kesempatan-berkarier
New L300 Hadir dengan 5 Lebih,detikOto, 31 Des 2022 17:17 WIB,https://oto.detik.com/mobil/d-6491606/new-l300-hadir-dengan-5-lebih
Biang Kerok Penyerapan Beras Bulog Rendah Berujung Impor 500.000 Ton,detikFinance, 31 Des 2022 13:30 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6490759/biang-kerok-penyerapan-beras-bulog-rendah-berujung-impor-500000-ton
"Dealsember! New Pajero Sport, Partner Andalan yang Tangguh dan modern",detikOto, 30 Des 2022 15:33 WIB,https://oto.detik.com/mobil/d-6489764/dealsember-new-pajero-sport-partner-andalan-yang-tangguh-dan-modern
Mengungkap Alasan Penyerapan Beras Bulog Rendah hingga Berujung Impor,detikFinance, 30 Des 2022 12:56 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6489353/mengungkap-alasan-penyerapan-beras-bulog-rendah-hingga-berujung-impor
Tren Digital di Bank Syariah,detikNews, 30 Des 2022 08:39 WIB,https://news.detik.com/kolom/d-6488955/tren-digital-di-bank-syariah
Fakta Manusia Silver: Fenomena Ekonomi dan Fatwa Haram MUI,detikFinance, 30 Des 2022 06:45 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6488052/fakta-manusia-silver-fenomena-ekonomi-dan-fatwa-haram-mui
Pemerintah Diminta Tertibkan Fenomena Manusia Silver yang Diharamkan MUI,detikFinance, 29 Des 2022 16:47 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6487939/pemerintah-diminta-tertibkan-fenomena-manusia-silver-yang-diharamkan-mui
Beli Mitsubishi New Xpander Pasti Kebanjiran Promo Desember,detikOto, 28 Des 2022 21:52 WIB,https://oto.detik.com/mobil/d-6486572/beli-mitsubishi-new-xpander-pasti-kebanjiran-promo-desember
4 Fakta Putin Balas Dendam ke Joe Biden cs,detikFinance, 28 Des 2022 21:00 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6486453/4-fakta-putin-balas-dendam-ke-joe-biden-cs
"Putin Balas Dendam ke Biden cs, RI Bakal Kena Getahnya?",detikFinance, 28 Des 2022 18:45 WIB,https://finance.detik.com/energi/d-6486279/putin-balas-dendam-ke-biden-cs-ri-bakal-kena-getahnya
"Putin Balas Dendam: AS & Kanada Bisa Tenang, Jerman-Italia Kalang Kabut",detikFinance, 28 Des 2022 16:28 WIB,https://finance.detik.com/energi/d-6485877/putin-balas-dendam-as--kanada-bisa-tenang-jerman-italia-kalang-kabut
Waduh! Begini Dampak Ngeri Kalau Putin Jadi Balas Dendam ke Biden cs,detikFinance, 28 Des 2022 15:16 WIB,https://finance.detik.com/energi/d-6485710/waduh-begini-dampak-ngeri-kalau-putin-jadi-balas-dendam-ke-biden-cs
Wow! Ini Solusi Beli Tiket Kereta-Belanja di Fitur Sukha Bank Mandiri,detikFinance, 28 Des 2022 12:47 WIB,https://finance.detik.com/moneter/d-6484877/wow-ini-solusi-beli-tiket-kereta-belanja-di-fitur-sukha-bank-mandiri
Gila! Perusahaan Ini Bakal 'Bakar' Rp 15 T Aset Kripto di Januari 2023,detikFinance, 28 Des 2022 10:01 WIB,https://finance.detik.com/fintech/d-6482992/gila-perusahaan-ini-bakal-bakar-rp-15-t-aset-kripto-di-januari-2023
Upaya Bank Mandiri Hadirkan Layanan Perbankan Digital dari Hulu-Hilir,detikFinance, 28 Des 2022 09:29 WIB,https://finance.detik.com/moneter/d-6484855/upaya-bank-mandiri-hadirkan-layanan-perbankan-digital-dari-hulu-hilir
"Saham PTRO Melejit, Sosok Suami Puan Disebut-sebut Lagi",detikFinance, 27 Des 2022 20:50 WIB,https://finance.detik.com/bursa-dan-valas/d-6484614/saham-ptro-melejit-sosok-suami-puan-disebut-sebut-lagi
"Ekonomi Tahun Kelinci Air Diramal Seret, Dolar AS Ambrol",detikFinance, 27 Des 2022 09:47 WIB,https://finance.detik.com/berita-ekonomi-bisnis/d-6482991/ekonomi-tahun-kelinci-air-diramal-seret-dolar-as-ambrol
