content,date,title
"Berita  Surabaya SURYA.co.id | SURABAYA -  Aksi dua bandit jalanan yang kerap merampas tas milik emak-emak di  Surabaya  akhirnya terhenti di tangan polisi. Bahkan, satu dari dua pelaku itu ditembak kakinya lantaran melawan saat ditangkap. Kedua bandit jalanan itu bernama Indra Nuswantara (24), asal Jalan Simo Gunung Kramat Timur dan Faizal Anam (19), warga Jalan Kembang Kuning,  Surabaya . Kapolsek  Sawahan , Kompol A. Risky Fardian mengatakan, pelaku merampas tas milik korban berinisial VR (40) yang saat itu melintas di Jalan Kinibalu,  Surabaya  pada Rabu (5/1/2022). ""Pelaku menarik tas korban dengan keras dari arah samping, kemudian membawanya kabur menggunakan motor yang dikendarainya,"" terang Risky, Kamis (6/1/2022). Risky menambahkan, modus kejahatan yang digunakan oleh para pelaku yaitu dengan cara berboncengan berkeliling mencari sasaran secara acak menggunakan motor. ""Pelaku merencanakan aksi dengan cara hunting atau berkeliling secara berboncengan dan apabila ada calon korban serta situasi yang mendukung, maka mereka akan melancarkan aksinya,"" terangnya. Selain berhasil menangkap kedua pelaku, Unit Reskrim Polsek  Sawahan  menyita satu unit motor Supra X yang digunakan sebagai sarana, handphone, dompet beserta uang Rp 700 ribu milik korban. Saat ini,polisi masih terus melakukan pendalaman terhadap dua tersangka  jambret  itu di Mapolsek  Sawahan   Surabaya .","Kamis, 6 Januari 2022 23:25",2 Jambret Incar Emak-Emak di Sawahan Surabaya Dapat Hadiah Timah Panas di Kaki
"SURYA.CO.ID  - Masih ingat dengan  Mandra , satu di antara pemain  Si Doel Anak Sekolahan  yang melejit pada era 90-an? Sekarang punya profesi kekinian. Nama  Mandra  melejit lewat sinetron yang ia bintangi bersama  Rano Karno  pada tahun 1994 silam. Dalam sinetron itu, Mandra berperan sebagai kakak dari Si Doel bekerja sebagai sopir bajaj.   Baca juga:  Ingat Melinda Pelantun Lagu Cinta Satu Malam? Kehidupan Berubah Drastis, Intip Penampilan Terbarunya Puluhan tahun berlalu, kini  Mandra  masih terhitung aktif di dunia komedi dan lenong. Tak hanya itu,  Mandra  juga dikabarkan memiliki profesi kekinian bak anak muda. Diketahui,  Mandra  telah memulai karier aktingnya sejak 1977. Sebelum menjadi pelawak terkenal seperti sekarang ini, pria kelahiran 2 Mei 1965 ini mengawali kariernya dengan tampil di sejumlah lenong Betawi. Ia tergabung dalam lenong Setia Warga pimpinan Haji Bokir. Setelah itu, ia mulai merambah akting dengan terjun ke dunia layar lebar. Ia kerap wara wiri tampil menjadi pemeran pendukung di beberapa film, seperti Cinta Annisa (1983), Yang Masih di Bawah Umur (1985), dan lain-lain. Selama berkarier,  Mandra  telah membintangi 14 film dan 15 sinetron. Berkat peran-peran itu, mengantarkannya masuk ke sejumlah nominasi sebagai Aktor Pembantu di ajang Piala Vidia 1997 dan 2011. Selain itu,  Mandra  juga kerap didapuk menjadi bintang iklan di sejumlah produk seperti Ajinomoto, CFC, Honda Astrea, dan lainnya. Kini, nama  Mandra  nyaris menghilang dari dunia televisi.","Kamis, 6 Januari 2022 23:35",Ingat Mandra Pemain Si Doel Anak Sekolahan? Sekarang Punya Profesi Kekinian hingga Kediaman Unik
"SURYA.co.id I -  Erling Haaland dan Kylian Mbappe boleh menjadi pemain muda paling banyak di lirik tim-tim elit Eropa pada bursa transfer Januari ini. Tapi ketahuilah, ternyata kedua pemain itu, diperkirakan bukanlah pemain yang akan memenangi bandrol harga termahal musim ini. Prediksi itu muncul dalam survei lembaga CIES Football Observatory. Hasil survei jutsru menempatkan Wonderkid Real  Vinicius Junior  yang akan menjadi pemain termahal di dunia. CIES Football Observartory merupakann pusat studi yang mengkhususkan diri dalam analisis statistik sepak bola. Laporan CIES Football Observartoy yang dikutip BolaSport.com itu dibuat berdasarkan perhitungan nilai dengan menggunakan pendekatan ekonometrik eksklusif. CIES Football Observatory melaporkan bahwa bintang muda Real Madrid,  Vinicius Junior , menjadi pemuncak daftar perkiraan nilai transfer dari 100 pemain di lima liga top Benua Biru. Menurut CIES Football Observatory, angka-angka ini terlepas dari klausul pembelian akhir dalam kontrak pemain. Vinicius Junior memiliki perkiraan nilai transfer mencapai 166,4 juta euro setara 2,7 triliun rupiah. Disusul dengan Phil Foden (152,6 juta euro) dan Erling Haaland (142,5 juta euro) yang menempati peringkat kedua dan ketiga. Sementara itu, Mbappe menempati posisi ke-48 dengan perkiraan nilai transfer sebesar 71,5 euro. Meskipun begitu, Mbappe berada di puncak daftar pemain yang kontraknya akan habis pada musim panas 2022. Adapun untuk tiap posisi, Gianluigi Donnarumma menempati nilai transfer teratas di antara para penjaga gawang. Ruben Dias untuk bek tengah, Alphonso Davies di antara bek sayap, Jude Bellingham untuk posisi gelandang bertahan, Florian Wirtz untuk penyerang, serta  Vinicius Junior  di antara penyerang. Sementara itu, di antara para pemain berusia 30 tahun ke atas, gelandang Manchester City, Kevin de Bruyne, memiliki nilai transfer terbesar.   Baca juga:  Liga Inggris, Manchester United Gawat, 17 Pemain Akan Eksodus, Lihat Daftarnya, Termasuk Cavani   Baca juga:  Jadwal Liga Italia, AC Milan vs AS Roma, Live Streaming Pukul 00.30, Fakta dan Optimisme Pioli Vinicius sendiri sedang menampilkan performa impresif bersama Real Madrid setelah sebelumnya kerap mendapatkan kritikan karena kurangnya kemampuannya di depan gawang. Lahir dan dibesarkan di Rio de Janeiro, Brasil, Vinicius masuk ke tim utama Flamengo pada usia 17 sebelum mengamankan kepindahan ke Santiago Bernabeu pada usia 18 tahun.   Baca juga:  Jadwal Liga Italia, 4 Laga Ditunda, Termasuk Bologna - Inter Milan, Diumumkan 45 Menit Jelang Laga Penyerang 21 tahun ini sekarang telah menyumbang 12 gol dan 9 assist dalam 25 penampilan musim ini di La Liga dan Liga Champions bersama Real Madrid. Ia juga berhasil membawa Real Madrid berjaya di dua kompetisi itu dengan unggul lima poin dari Sevilla di puncak klasemen Liga Spanyol. Vinicius juga membantu Real Madrid mengakhiri babak penyisihan Liga Champions musim ini dengan status sebagai juara grup D.","Kamis, 6 Januari 2022 23:37","Liga Spanyol, Bursa Transfer, Ini Calon Pemain Termahal Eropa, Bukan Mbappe, Bukan Haaland"
"SURYA.CO.ID  - Berikut fakta sketsa kasus  pembunuhan ibu dan anak di Subang , yang dirilis oleh pihak kepolisian beberapa waktu lalu. Sketsa pembunuh kasus Subang  yang harusnya menjadi pedoman pihak kepolisian dalam menangkap pelaku, saat ini justru menjadi sarana tuduhan bagi keluarga hingga terbagi menjadi dua kubu. Mulai dari sketsa tersebut diduga merupakan Danu hingga sosok bayaran yang profesional. Dirangkum Surya.co.id dari berbagai sumber, berikut fakta  sketsa kasus Subang . 1. Sketsa diduga sosok pembunuh bayaran Diketahui, perilisan sketsa sosok pembunuh ibu dan anak di Subang belum bisa memuaskan masyarakat. Misteri perampasan nyawa Tuti Suhartini dan Amalia Mustika Ratu itu masih belum menemui titik terang. Bahkan, sketsa tersebut malah menjadi polemik antara Kubu para saksi seperti Danu, Yoris dan Yosef. Tak sedikit juga spekulasi berkembang di masyarakat bahwa kasus Subang merupakan pembunuhan berencana yang melibatkan pembunuh bayaran. Pasalnya, ditemukan indikasi dari beberapa temuan polisi di TKP yang mensinyalir pada motif tersebut. Mengenai hal ini, Adrianus Meliala memberikan analisis terkait kasus Subang dalam wawancara bersama Aiman di KompasTV. Saat ditanya apakah kasus Subang melibatkan pembunuhan bayaran, kriminolog mengaku belum bisa memastikannya. Adrianus Meliala menjelaskan, dia belum bisa memastikan karena kasus Subang masih dalam proses penyelidikan. Namun, kriminolog itu menyebut dalam proses tersebut ia menganalisis ada kesan terdapat dua kelemahan.","Kamis, 6 Januari 2022 23:13","FAKTA SKETSA KASUS SUBANG, Diduga Sosok Bayaran yang Profesional hingga Tuduhan untuk Keluarga"
"SURYA.CO.ID  - Pengorbanan  Fujianti Utami  alias  Fuji  demi  Gala Sky  justru dapat peringatan dari sang ayah,  H  Faisal . Tak tanggung-tanggung,  Fuji  rela korbankan pendidikannya untuk perkembangan  Gala Sky . Hal itu karena sang ponakan hanya mau diurus oleh  Fuji . Meski mendapat peringatan dari Faisal, sang ayah tidak dapat melarang keinginan Fuji yang ingin sepenuh hati merawat Gala Sky.   Baca juga:  Hubungan Faisal & Doddy Sudrajat Makin Panas, Ayah Bibi Ardiansyah Tanyakan Maksud Besan: Salah Apa? Hal itu seperti yang diungkapkan  Faisal  dalam tayangan Youtube Intens Investigasi, Kamis (6/1/2022). Dalam tayangan itu,  Faisal  menyebutkan bahwa musibah yang menimpa keluarganya bukanlah sesuatu yang dikehendaki. Karenanya, masalah yang timbul sebagai buntut kejadian tersebut tak bisa dihindari. ""Saya sudah sampaikan juga hal itu, saya bilang ini semuanya terjadi tidak ada yang merekayasa,"" ujar  Faisal . ""Artinya kejadian ini memang sudah kehendak ilahi, gimana lagi, siapa yang menghendaki? Kan enggak ada, ini spontan terjadi."" Sepeninggal Vanessa dan Bibi, Gala kini dirawat oleh  Fuji  dan sang pengasuh, Ida. Faisal dan istrinya, Dewi Zuhriati juga turut membantu menjaga Gala apabila pulang dari bedagang di Tanah Abang. Hanya saja, jika mereka bekerja,  Fuji  akan diserahi tanggung jawab sepenuhnya untuk bersama sang keponakan. Faisal mengaku miris lantaran adik Fadly  Faisal  itu harus merelakan kuliahnya demi Gala. ""Kalau itu saya sendiri kadang-kadang merasa miris juga sebenarnya, karena anak saya yang seharusnya mengutamakan pendidikan, bermain, bercanda, kumpul sama teman-teman, sekarang dibilang jadi seorang ibu banget enggak, tapi sudah seperti siap kalau si Gala ini menjadikan dia ibunya, dia siap,"" tutur  Faisal . Meski kasihan, namun  Faisal  melihat bahwa  Fuji  memang melakukan peran tersebut dengan sukarela.","Kamis, 6 Januari 2022 23:27","Pengorbanan Fuji untuk Gala Sky Dapat Peringatan dari Faisal, Rela Lakukan Ini Demi Keponakan"
"Berita  Tuban SURYA.co.id | TUBAN -  Kasus  pembunuhan  dilakukan oleh seorang pria terhadap seorang kakek di  Tuban . Pembunuhan dilakukan di Jalan RE Martadinata, Kelurahan Karangsari,  Tuban , tepatnya di warung kopi milik korban, Rabu (5/1/2022), sekitar pukul 21.00 WIB. Sebelumnya, pelaku Hendrik Puji Utomo (32) warga Dusun Jembel, Desa Sugihwaras, Jenu, mencekik korban Jaelan (58), yang tak lain masih tetangganya hingga tewas. Sempat diwarnai adu mulut, hal itu lantaran pelaku ditegur saat mengendarai motor di trotoar, yang mana telah dipasang tikar oleh korban yang akan berjualan kopi. Kapolsek  Tuban , Iptu Rianto mengatakan, memang sebelumnya korban dan pelaku ada masalah pribadi. Berdasarkan keterangan yang didapat, pelaku sering mendapat teguran atau kerap dimarahi korban. ""Jadi pemicunya karena unsur dendam, semacam ada bullying yang dilakukan korban terhadap pelaku,"" ujar Kapolsek kepada wartawan, Kamis (6/1/2022). Rianto menjelaskan, sebelum terjadi perkelahian, pelaku menaiki sepeda motor di atas trotoar melintasi tikar yang sudah dipasang oleh korban untuk pengunjung warung. Pelaku lalu ditegur korban atas tindakannya tersebut, namun karena sedang mabuk  terpengaruh minuman keras selanjutnya pelaku marah dan menyerang korban. Tak lama kemudian terjadi perkelahian yang membuat korban dan pelaku terjatuh ke laut, yang mana saat itu air laut sedang pasang. Korban lalu dicekik dan di bagian kepalanya dimasukkan ke air oleh pelaku berulang ulang. ""Ada bekas luka cekik di leher, namun keluarga menolak untuk di autopsi. Pelaku sudah ditahan dan dijerat pasal 338 KUHP ancaman 15 tahun penjara, untuk barang bukti sepeda motor scoopy yang digunakan pelaku,"" pungkasnya.","Kamis, 6 Januari 2022 23:29","Sebelum Cekik Tetangganya Hingga Tewas, Pria di Tuban Sempat Cekcok di Warkop Milik Korban"
"SURYA.CO.ID, PAMEKASAN –  Selama Hari Raya Natal dan Tahun Baru 2022 ini,  Smartfren  mencatat terjadinya lonjakan traffic internet nasional rata-rata sebesar 9 persen. Lonjakan traffic internet ini sejalan dengan prediksi dan antisipasi yang telah dipersiapkan  Smartfren  sebelumnya. Karena layanan internet  Smartfren  tetap optimal inilah, maka seluruh pelanggan  Smartfren  bisa menikmati layanan internet yang cukup memuaskan. Baik di saat pelanggan  Smartfren  berada dalam perjalanan, maupun ketika berada di rumah. Agus Rohmat, Vice President (VP) Network Operations  Smartfren , Kamis (6/1/2022) mengatakan, peningkatan traffic internet kali ini, terkonsentrasi di berbagai wilayah pemukiman. Adapun aktivitas yang berkontribusi pada kenaikan traffic internet itu, di antaranya berupa akses terhadap aplikasi streaming sebesar 8 persen, game sebesar 6 persen, serta media sosial sebesar 11 persen. Diungkapkan, selain mengantisipasi akan terjadinya lonjakan traffic internet Natal dan Tahun Baru,  Smartfren  secara rutin, terus melakukan optimasi dan peningkatan kapasitas jaringan. Ini sebagai bentuk dari komitmen  Smartfren  dalam setiap memberikan layanan terbaiknya, untuk mendukung masyarakat membuka berbagai peluang digital dari internet. Menurut Agus, berdasarkan wilayah, peningkatan traffic internet  Smartfren  yang terbesar berada di kawasan Jabodetabek. Pada saat Natal peningkatan itu, kenaikannya mencapai mencapai 10 persen dari traffic di hari biasa. Sedang pada saat Tahun Baru 2022, kenaikannya mencapai 12 persen dari traffic hari biasa. Peningkatan traffic yang cukup signifikan, juga terjadi di wilayah Jawa Tengah. Rata-Rata meningkat sebesar 9 persen dibandingkan hari biasa. “Terjadinya peningkatan ini salah satunya didorong oleh perubahan pola mobilitas masyarakat yang sebagian besar berada di rumah dan tidak melakukan perjalanan ke luar kota,” ujar Agus kepada  SURYA . Ditambahkan, untuk menjamin pelanggan terus mendapatkan layanan terbaik,  Smartfren  telah menerapkan berbagai teknologi mutakhir pada seluruh network. Yakni, multiple carrier, milimeter wave, small cell, 4x4 MIMO, Beam Forming, Full Duplex, serta 256 QAM. Semuanya berperan dalam memberikan koneksi internet terbaik. Membuat pelanggan mendapat akses berkecepatan tinggi, stabil, serta mencapai 4G+ pada gadget yang mendukung.  ****","Kamis, 6 Januari 2022 22:50","Selama Nataru Terjadi Kenaikan Traffic Smartfren 9 Persen, Main Game dan Bermedsos Jadi Biangnya"
"Berita  Persik Kediri SURYA.co.id | KEDIRI -  Pelatih  Persik Kediri   Javier Roca  pihaknya sudah mendapatkan satu  pemain asing  untuk ikuti putaran kedua Liga 1 2021-2022. Bahkan  Javier Roca  menyampaikan jika satu  pemain asing  ini, sedang dalam proses pengurusan visa. Akan tetapi kembali  Javier Roca  enggan menyebutkan nama  pemain asing  yang akan bergabung dengan  Persik Kediri . ""Sudah ada nama (pemain asing) lagi urus Visa,"" ujarnya. Javier Roca menjelaskan salah satu alasan untuk tidak membocorkan nama  pemain asing  adalah untuk menghormati pihak manajemen  Persik Kediri . Selain itu karena saat ini masih sedang dalam masa Pandemi Covid-19, maka  pemain asing  yang hendak didatangkan harus melewati sejumlah prosedur, seperti menjalani masa karantina Covid-19 sebelum bergabung dengan skuad  Persik Kediri . ""Nama sudah ada. Tapi saya belum bisa sebut nama. 14 Hari kedepan kita bisa tahu,"" imbuh  Javier Roca . Sementara itu nama yang kuat diprediksi  pemain asing  adalah Anumanthan Kumar. Anumanthan Kumar diketahui merupakan Pemain Asal Timnas Singapura yang bermain di piala AFF Suzuki Cup 2020. Anumanthan Kumar diketahui merupakan pemain Timnas Singapura yang berposisi sebagai gelandang bertahan. Bahkan Anumanthan Kumar menjadi salah satu pemain yang cukup bersinar, saat Timnas Singapura menghadapi Indonesia di partai Semifinal Piala AFF Suzuki Cup 2020. Dikenal kuat dan tangguh dalam menjaga lini tengah, sosok Anumanthan Kumar bisa menjadi pilihan bagi  Persik Kediri  untuk direkrut ikuti Kompetisi Liga 1 2021.","Kamis, 6 Januari 2022 23:18",Pelatih Persik Kediri Javier Roca Sebut 1 Pemain Asing sedang Dalam Pengurusan Visa
"SURYA.co.id |SURABAYA  - Pengurus Daerah Tunas Indonesia Raya Jawa Timur (PD Tidar Jatim) terus menggaungkan agar millenial tidak anti pada politik. Organisasi sayap partai Gerindra yang bergerak di sektor kepemudaan itu menyebut, millenial perlu turut andil dan memaksimalkan potensi. Hal ini dikemukakan Ryan Septrianto Maulana, Wakil Ketua  PD Tidar Jatim  yang hadir ke Gedung DPRD Jatim pada Kamis (6/1/2022) sore. Ryan bersama puluhan anak muda lainnya sesama pengurus  PD Tidar Jatim , melakukan silaturahmi dengan Fraksi Partai Gerindra DPRD Jatim. ""Ini silaturahmi awal dan juga untuk mendengar pengarahan. Karena sebelumnya kita ada proses yang cukup panjang dalam proses rekrutmen pengurus,"" kata Ryan seusai pertemuan. Puluhan millenial dari berbagai latar belakang itu berdiskusi dengan para wakil rakyat dari Partai Gerindra. Hadir secara langsung Ketua Fraksi Muhammad Fawait kemudian juga  Noer Soetjipto  yang dalam kesempatan itu juga memberikan wejangan. Potensi besar yang dimiliki kalangan millenial harus dioptimalkan. Apalagi, secara jumlah populasi anak muda berjumlah sangat besar. Sehingga, diharapkan tidak anti pada persoalan politik. Menurut Ryan, pihaknya memiliki komitmen untuk memberikan wadah bagi generasi muda untuk mengenal politik serta bisa tertarik berkiprah di dalamnya. ""Harapannya Tidar Jatim ini bisa mengajak seluruh anak muda, minimal bisa peduli terhadap politik. Setelah itu, bisa tertarik dan akan kita buat program kerja untuk itu,"" ujarnya. Sementara itu,  Noer Soetjipto  berharap agar millenial yang berada dalam wadah Tidar Jatim memastikan peran secara optimal. Termasuk di tengah-tengah masyarakat. Sebagai generasi muda, mereka diharapkan dapat menjadi problem solver bagi masyarakat. ""Kuncinya menemukan problem yang ada di masyarakat sekaligus memberikan solusi,"" ungkap Wakil Ketua DPD Partai Gerindra Jatim. Muhammad Fawait, Ketua Fraksi Partai Gerindra DPRD Jatim menyambut positif kedatangan puluhan millenial itu. Apalagi, mereka diketahui merupakan kumpulan figur yang kaya latar belakang dan profesi yang digeluti. ""Komposisi antara laki-laki dan perempuan juga imbang,"" ujarnya. Legislator dari dapil Lumajang-Jember itu berharap penuh para generasi millenial dapat berkiprah mengisi percaturan politik tanah air termasuk Jawa Timur. ""Politik harus diisi oleh orang-orang baik yang punya semangat tinggi, sehingga harapannya banyak anak muda masuk politik dan bisa membawa perubahan,"" terangnya. Di sisi lain, Gus Fawait juga menginginkan generasi millenial itu memberikan sumbangsih besar dalam penguatan target partai Gerindra. Termasuk dalam mengantar Ketua Umum mereka Prabowo Subianto di Pilpres 2024","Kamis, 6 Januari 2022 23:08",Tidar Jatim Gaungkan Millenial Jangan Anti Politik
"Berita  Lumajang SURYA.co.id | LUMAJANG -  Kabut di sekitaran SDN Jugosari III, Kecamatan Candipuro,  Lumajang  belum sepenuhnya hilang. Sekitar pukul 07.30, Eri Eliyawati dan dua rekan  guru  lainnya harus bersiap pergi ke Dusun Sumberlangsep. Hal itu dilakukan karena ada puluhan siswa di sana terisolir tak bisa bersekolah karena dam di atas Sungai Regoyo terputus. Jarak SDN Jugosari III ke Dusun Sumberlangsep memang hanya 3,5 kilometer. Namun, mereka harus melewati jalan makadam, jutaan kubik material vulkanik  Gunung Semeru  yang memadati Sungai Regoyo. Sepeda motor matic yang mereka tunggangi tak banyak membantu dalam perjalanan. Sering motor mereka hampir kehilangan keseimbangan karena rodanya selip. Sampai akhirnya, mereka memutuskan memakirkan kendaraan di bibir sungai. Mereka kemudian melepas sepatu, lalu menerabas sungai dengan bertelanjang kaki. Akan tetapi, setelah berhasil melewati sungai, perjalanan  guru  ini langsung dibayar tuntas. Mereka sudah disambut sejumlah siswa yang sudah menunggu. Para  guru  langsung memeluk dan menanyakan satu-persatu kabar muridnya, pasca beberapa hari lalu Sungai Regoyo diterjang  banjir lahar . Banyak di antara mereka spontan meneteskan air mata.","Kamis, 6 Januari 2022 23:04",Guru di Lumajang Terjang Material Erupsi Banjir Lahar Semeru Demi Tetap Mengajar 42 Murid Terisolir
