content,date,title
"SURYA.co.id I - Erling Haaland dan Kylian Mbappe boleh menjadi pemain muda paling banyak di lirik tim-tim elit Eropa pada bursa transfer Januari ini.Tapi ketahuilah, ternyata kedua pemain itu, diperkirakan bukanlah pemain yang akan memenangi bandrol harga termahal musim ini.Prediksi itu muncul dalam survei lembaga CIES Football Observatory. Hasil survei jutsru menempatkan Wonderkid Real Vinicius Junior yang akan menjadi pemain termahal di dunia.CIES Football Observartory merupakann pusat studi yang mengkhususkan diri dalam analisis statistik sepak bola.Laporan CIES Football Observartoy yang dikutip BolaSport.com itu dibuat berdasarkan perhitungan nilai dengan menggunakan pendekatan ekonometrik eksklusif.CIES Football Observatory melaporkan bahwa bintang muda Real Madrid, Vinicius Junior, menjadi pemuncak daftar perkiraan nilai transfer dari 100 pemain di lima liga top Benua Biru.Menurut CIES Football Observatory, angka-angka ini terlepas dari klausul pembelian akhir dalam kontrak pemain.Vinicius Junior memiliki perkiraan nilai transfer mencapai 166,4 juta euro setara 2,7 triliun rupiah.Disusul dengan Phil Foden (152,6 juta euro) dan Erling Haaland (142,5 juta euro) yang menempati peringkat kedua dan ketiga.Sementara itu, Mbappe menempati posisi ke-48 dengan perkiraan nilai transfer sebesar 71,5 euro.Meskipun begitu, Mbappe berada di puncak daftar pemain yang kontraknya akan habis pada musim panas 2022.Adapun untuk tiap posisi, Gianluigi Donnarumma menempati nilai transfer teratas di antara para penjaga gawang.Ruben Dias untuk bek tengah, Alphonso Davies di antara bek sayap, Jude Bellingham untuk posisi gelandang bertahan, Florian Wirtz untuk penyerang, serta Vinicius Junior di antara penyerang.Sementara itu, di antara para pemain berusia 30 tahun ke atas, gelandang Manchester City, Kevin de Bruyne, memiliki nilai transfer terbesar. Baca juga: Liga Inggris, Manchester United Gawat, 17 Pemain Akan Eksodus, Lihat Daftarnya, Termasuk Cavani Baca juga: Jadwal Liga Italia, AC Milan vs AS Roma, Live Streaming Pukul 00.30, Fakta dan Optimisme PioliVinicius sendiri sedang menampilkan performa impresif bersama Real Madrid setelah sebelumnya kerap mendapatkan kritikan karena kurangnya kemampuannya di depan gawang.Lahir dan dibesarkan di Rio de Janeiro, Brasil, Vinicius masuk ke tim utama Flamengo pada usia 17 sebelum mengamankan kepindahan ke Santiago Bernabeu pada usia 18 tahun. Baca juga: Jadwal Liga Italia, 4 Laga Ditunda, Termasuk Bologna - Inter Milan, Diumumkan 45 Menit Jelang LagaPenyerang 21 tahun ini sekarang telah menyumbang 12 gol dan 9 assist dalam 25 penampilan musim ini di La Liga dan Liga Champions bersama Real Madrid.Ia juga berhasil membawa Real Madrid berjaya di dua kompetisi itu dengan unggul lima poin dari Sevilla di puncak klasemen Liga Spanyol.Vinicius juga membantu Real Madrid mengakhiri babak penyisihan Liga Champions musim ini dengan status sebagai juara grup D.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|3|7","L|i|g|a| |S|p|a|n|y|o|l|,| |B|u|r|s|a| |T|r|a|n|s|f|e|r|,| |I|n|i| |C|a|l|o|n| |P|e|m|a|i|n| |T|e|r|m|a|h|a|l| |E|r|o|p|a|,| |B|u|k|a|n| |M|b|a|p|p|e|,| |B|u|k|a|n| |H|a|a|l|a|n|d"
"Berita SurabayaSURYA.co.id | SURABAYA - Aksi dua bandit jalanan yang kerap merampas tas milik emak-emak di Surabaya akhirnya terhenti di tangan polisi.Bahkan, satu dari dua pelaku itu ditembak kakinya lantaran melawan saat ditangkap.Kedua bandit jalanan itu bernama Indra Nuswantara (24), asal Jalan Simo Gunung Kramat Timur dan Faizal Anam (19), warga Jalan Kembang Kuning, Surabaya.Kapolsek Sawahan, Kompol A. Risky Fardian mengatakan, pelaku merampas tas milik korban berinisial VR (40) yang saat itu melintas di Jalan Kinibalu, Surabaya pada Rabu (5/1/2022).""Pelaku menarik tas korban dengan keras dari arah samping, kemudian membawanya kabur menggunakan motor yang dikendarainya,"" terang Risky, Kamis (6/1/2022).Risky menambahkan, modus kejahatan yang digunakan oleh para pelaku yaitu dengan cara berboncengan berkeliling mencari sasaran secara acak menggunakan motor.""Pelaku merencanakan aksi dengan cara hunting atau berkeliling secara berboncengan dan apabila ada calon korban serta situasi yang mendukung, maka mereka akan melancarkan aksinya,"" terangnya.Selain berhasil menangkap kedua pelaku, Unit Reskrim Polsek Sawahan menyita satu unit motor Supra X yang digunakan sebagai sarana, handphone, dompet beserta uang Rp 700 ribu milik korban.Saat ini,polisi masih terus melakukan pendalaman terhadap dua tersangka jambret itu di Mapolsek Sawahan Surabaya.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|2|5",2| |J|a|m|b|r|e|t| |I|n|c|a|r| |E|m|a|k|-|E|m|a|k| |d|i| |S|a|w|a|h|a|n| |S|u|r|a|b|a|y|a| |D|a|p|a|t| |H|a|d|i|a|h| |T|i|m|a|h| |P|a|n|a|s| |d|i| |K|a|k|i
"SURYA.CO.ID - Pengorbanan Fujianti Utami alias Fuji demi Gala Sky justru dapat peringatan dari sang ayah, H Faisal.Tak tanggung-tanggung, Fuji rela korbankan pendidikannya untuk perkembangan Gala Sky. Hal itu karena sang ponakan hanya mau diurus oleh Fuji.Meski mendapat peringatan dari Faisal, sang ayah tidak dapat melarang keinginan Fuji yang ingin sepenuh hati merawat Gala Sky. Baca juga: Hubungan Faisal & Doddy Sudrajat Makin Panas, Ayah Bibi Ardiansyah Tanyakan Maksud Besan: Salah Apa?Hal itu seperti yang diungkapkan Faisal dalam tayangan Youtube Intens Investigasi, Kamis (6/1/2022).Dalam tayangan itu, Faisal menyebutkan bahwa musibah yang menimpa keluarganya bukanlah sesuatu yang dikehendaki.Karenanya, masalah yang timbul sebagai buntut kejadian tersebut tak bisa dihindari.""Saya sudah sampaikan juga hal itu, saya bilang ini semuanya terjadi tidak ada yang merekayasa,"" ujar Faisal.""Artinya kejadian ini memang sudah kehendak ilahi, gimana lagi, siapa yang menghendaki? Kan enggak ada, ini spontan terjadi.""Sepeninggal Vanessa dan Bibi, Gala kini dirawat oleh Fuji dan sang pengasuh, Ida.Faisal dan istrinya, Dewi Zuhriati juga turut membantu menjaga Gala apabila pulang dari bedagang di Tanah Abang.Hanya saja, jika mereka bekerja, Fuji akan diserahi tanggung jawab sepenuhnya untuk bersama sang keponakan.Faisal mengaku miris lantaran adik Fadly Faisal itu harus merelakan kuliahnya demi Gala.""Kalau itu saya sendiri kadang-kadang merasa miris juga sebenarnya, karena anak saya yang seharusnya mengutamakan pendidikan, bermain, bercanda, kumpul sama teman-teman, sekarang dibilang jadi seorang ibu banget enggak, tapi sudah seperti siap kalau si Gala ini menjadikan dia ibunya, dia siap,"" tutur Faisal.Meski kasihan, namun Faisal melihat bahwa Fuji memang melakukan peran tersebut dengan sukarela.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|2|7","P|e|n|g|o|r|b|a|n|a|n| |F|u|j|i| |u|n|t|u|k| |G|a|l|a| |S|k|y| |D|a|p|a|t| |P|e|r|i|n|g|a|t|a|n| |d|a|r|i| |F|a|i|s|a|l|,| |R|e|l|a| |L|a|k|u|k|a|n| |I|n|i| |D|e|m|i| |K|e|p|o|n|a|k|a|n"
"Berita Persik KediriSURYA.co.id | KEDIRI - Pelatih Persik Kediri Javier Roca pihaknya sudah mendapatkan satu pemain asing untuk ikuti putaran kedua Liga 1 2021-2022.Bahkan Javier Roca menyampaikan jika satu pemain asing ini, sedang dalam proses pengurusan visa.Akan tetapi kembali Javier Roca enggan menyebutkan nama pemain asing yang akan bergabung dengan Persik Kediri.""Sudah ada nama (pemain asing) lagi urus Visa,"" ujarnya.Javier Roca menjelaskan salah satu alasan untuk tidak membocorkan nama pemain asing adalah untuk menghormati pihak manajemen Persik Kediri.Selain itu karena saat ini masih sedang dalam masa Pandemi Covid-19, maka pemain asing yang hendak didatangkan harus melewati sejumlah prosedur, seperti menjalani masa karantina Covid-19 sebelum bergabung dengan skuad Persik Kediri.""Nama sudah ada. Tapi saya belum bisa sebut nama. 14 Hari kedepan kita bisa tahu,"" imbuh Javier Roca.Sementara itu nama yang kuat diprediksi pemain asing adalah Anumanthan Kumar.Anumanthan Kumar diketahui merupakan Pemain Asal Timnas Singapura yang bermain di piala AFF Suzuki Cup 2020.Anumanthan Kumar diketahui merupakan pemain Timnas Singapura yang berposisi sebagai gelandang bertahan.Bahkan Anumanthan Kumar menjadi salah satu pemain yang cukup bersinar, saat Timnas Singapura menghadapi Indonesia di partai Semifinal Piala AFF Suzuki Cup 2020.Dikenal kuat dan tangguh dalam menjaga lini tengah, sosok Anumanthan Kumar bisa menjadi pilihan bagi Persik Kediri untuk direkrut ikuti Kompetisi Liga 1 2021.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|1|8",P|e|l|a|t|i|h| |P|e|r|s|i|k| |K|e|d|i|r|i| |J|a|v|i|e|r| |R|o|c|a| |S|e|b|u|t| |1| |P|e|m|a|i|n| |A|s|i|n|g| |s|e|d|a|n|g| |D|a|l|a|m| |P|e|n|g|u|r|u|s|a|n| |V|i|s|a
"SURYA.CO.ID - Masih ingat dengan Mandra, satu di antara pemain Si Doel Anak Sekolahan yang melejit pada era 90-an? Sekarang punya profesi kekinian.Nama Mandra melejit lewat sinetron yang ia bintangi bersama Rano Karno pada tahun 1994 silam.Dalam sinetron itu, Mandra berperan sebagai kakak dari Si Doel bekerja sebagai sopir bajaj. Baca juga: Ingat Melinda Pelantun Lagu Cinta Satu Malam? Kehidupan Berubah Drastis, Intip Penampilan TerbarunyaPuluhan tahun berlalu, kini Mandra masih terhitung aktif di dunia komedi dan lenong.Tak hanya itu, Mandra juga dikabarkan memiliki profesi kekinian bak anak muda.Diketahui, Mandra telah memulai karier aktingnya sejak 1977.Sebelum menjadi pelawak terkenal seperti sekarang ini, pria kelahiran 2 Mei 1965 ini mengawali kariernya dengan tampil di sejumlah lenong Betawi.Ia tergabung dalam lenong Setia Warga pimpinan Haji Bokir.Setelah itu, ia mulai merambah akting dengan terjun ke dunia layar lebar.Ia kerap wara wiri tampil menjadi pemeran pendukung di beberapa film, seperti Cinta Annisa (1983), Yang Masih di Bawah Umur (1985), dan lain-lain.Selama berkarier, Mandra telah membintangi 14 film dan 15 sinetron.Berkat peran-peran itu, mengantarkannya masuk ke sejumlah nominasi sebagai Aktor Pembantu di ajang Piala Vidia 1997 dan 2011.Selain itu, Mandra juga kerap didapuk menjadi bintang iklan di sejumlah produk seperti Ajinomoto, CFC, Honda Astrea, dan lainnya.Kini, nama Mandra nyaris menghilang dari dunia televisi.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|3|5",I|n|g|a|t| |M|a|n|d|r|a| |P|e|m|a|i|n| |S|i| |D|o|e|l| |A|n|a|k| |S|e|k|o|l|a|h|a|n|?| |S|e|k|a|r|a|n|g| |P|u|n|y|a| |P|r|o|f|e|s|i| |K|e|k|i|n|i|a|n| |h|i|n|g|g|a| |K|e|d|i|a|m|a|n| |U|n|i|k
"Berita TubanSURYA.co.id | TUBAN - Kasus pembunuhan dilakukan oleh seorang pria terhadap seorang kakek di Tuban.Pembunuhan dilakukan di Jalan RE Martadinata, Kelurahan Karangsari, Tuban, tepatnya di warung kopi milik korban, Rabu (5/1/2022), sekitar pukul 21.00 WIB.Sebelumnya, pelaku Hendrik Puji Utomo (32) warga Dusun Jembel, Desa Sugihwaras, Jenu, mencekik korban Jaelan (58), yang tak lain masih tetangganya hingga tewas.Sempat diwarnai adu mulut, hal itu lantaran pelaku ditegur saat mengendarai motor di trotoar, yang mana telah dipasang tikar oleh korban yang akan berjualan kopi.Kapolsek Tuban, Iptu Rianto mengatakan, memang sebelumnya korban dan pelaku ada masalah pribadi.Berdasarkan keterangan yang didapat, pelaku sering mendapat teguran atau kerap dimarahi korban.""Jadi pemicunya karena unsur dendam, semacam ada bullying yang dilakukan korban terhadap pelaku,"" ujar Kapolsek kepada wartawan, Kamis (6/1/2022).Rianto menjelaskan, sebelum terjadi perkelahian, pelaku menaiki sepeda motor di atas trotoar melintasi tikar yang sudah dipasang oleh korban untuk pengunjung warung.Pelaku lalu ditegur korban atas tindakannya tersebut, namun karena sedang mabuk  terpengaruh minuman keras selanjutnya pelaku marah dan menyerang korban.Tak lama kemudian terjadi perkelahian yang membuat korban dan pelaku terjatuh ke laut, yang mana saat itu air laut sedang pasang.Korban lalu dicekik dan di bagian kepalanya dimasukkan ke air oleh pelaku berulang ulang.""Ada bekas luka cekik di leher, namun keluarga menolak untuk di autopsi. Pelaku sudah ditahan dan dijerat pasal 338 KUHP ancaman 15 tahun penjara, untuk barang bukti sepeda motor scoopy yang digunakan pelaku,"" pungkasnya.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|2|9","S|e|b|e|l|u|m| |C|e|k|i|k| |T|e|t|a|n|g|g|a|n|y|a| |H|i|n|g|g|a| |T|e|w|a|s|,| |P|r|i|a| |d|i| |T|u|b|a|n| |S|e|m|p|a|t| |C|e|k|c|o|k| |d|i| |W|a|r|k|o|p| |M|i|l|i|k| |K|o|r|b|a|n"
"SURYA.CO.ID - Berikut fakta sketsa kasus pembunuhan ibu dan anak di Subang, yang dirilis oleh pihak kepolisian beberapa waktu lalu.Sketsa pembunuh kasus Subang yang harusnya menjadi pedoman pihak kepolisian dalam menangkap pelaku, saat ini justru menjadi sarana tuduhan bagi keluarga hingga terbagi menjadi dua kubu.Mulai dari sketsa tersebut diduga merupakan Danu hingga sosok bayaran yang profesional.Dirangkum Surya.co.id dari berbagai sumber, berikut fakta sketsa kasus Subang.1. Sketsa diduga sosok pembunuh bayaranDiketahui, perilisan sketsa sosok pembunuh ibu dan anak di Subang belum bisa memuaskan masyarakat.Misteri perampasan nyawa Tuti Suhartini dan Amalia Mustika Ratu itu masih belum menemui titik terang.Bahkan, sketsa tersebut malah menjadi polemik antara Kubu para saksi seperti Danu, Yoris dan Yosef.Tak sedikit juga spekulasi berkembang di masyarakat bahwa kasus Subang merupakan pembunuhan berencana yang melibatkan pembunuh bayaran.Pasalnya, ditemukan indikasi dari beberapa temuan polisi di TKP yang mensinyalir pada motif tersebut.Mengenai hal ini, Adrianus Meliala memberikan analisis terkait kasus Subang dalam wawancara bersama Aiman di KompasTV.Saat ditanya apakah kasus Subang melibatkan pembunuhan bayaran, kriminolog mengaku belum bisa memastikannya.Adrianus Meliala menjelaskan, dia belum bisa memastikan karena kasus Subang masih dalam proses penyelidikan.Namun, kriminolog itu menyebut dalam proses tersebut ia menganalisis ada kesan terdapat dua kelemahan.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|1|3","F|A|K|T|A| |S|K|E|T|S|A| |K|A|S|U|S| |S|U|B|A|N|G|,| |D|i|d|u|g|a| |S|o|s|o|k| |B|a|y|a|r|a|n| |y|a|n|g| |P|r|o|f|e|s|i|o|n|a|l| |h|i|n|g|g|a| |T|u|d|u|h|a|n| |u|n|t|u|k| |K|e|l|u|a|r|g|a"
"SURYA.CO.ID - Terungkap motif sebenarnya Kolonel Purwanto dan 2 oknum TNI AD membuang korban kecelakaan di Nagreg, yakni sejoli Handi-Salsa, ke sungai. Diketahui pula Kolonel Priyanto lah yang merencanakan pembuangan kedua korban untuk menghilangkan barang bukti.Sayangnya, upaya itu justru membuat hukuman yang akan menanti mereka semakin berat.Simak pula penampakan Kolonel Priyanto cs saat memakai baju tahanan militer di video berikut ini.Fakta terbaru kasus Nagreg, tim penyidik gabungan TNI pun sudah melimpahkan berkas penyidikan kasus pembunuhan sejoli Handi Saputra dan Salsabila yang dilakukan tiga prajurit TNI AD ke Oditur Militer Tinggi II Jakarta, Kamis (6/1/2022).Danpuspomad Letjen TNI Chandra W Sukotjo mengungkapkan berdasarkan hasil pemeriksaan, tiga tersangka ingin melepas tanggung jawab dan menghilangkan bukti terkait kecelakaan yang mereka lakukan.""Dari hasil pemeriksaan maka secara umum dapat dilihat bahwa apa yang dilakukan oleh mereka, apa yang menjadi motif yaitu upaya dari mereka melepas tanggung jawab,"" katanya.""Ataupun melakukan tindakan yang menghilangkan bukti-bukti yang menghubungkan mereka dengan awalnya adalah kecelakaan lalu lintas,"" lanjut Chandra dalam tayangan video di kanal YouTube Kompas TV, Kamis (6/1/2022).Sayangnya apa yang ketiga tersangka lakukan justru berujung pada sebuah tindak pidana.""Namun ini berlanjut menjadi sebuah tindak pidana yang di luar batas, atau diluar perikemanusiaan,"" imbuh Chandra.Lebih lanjut Chandra mengaku merasa bersyukur telah menangani kasus ini dengan baik.Serta telah melimpahkan kasus ini ke Oditur Militer, untuk proses hukum yang selanjutnya.""Kami selaku Pusat Militer Angkatan Darat, penyidik yang menangani kasus ini bersyukur bisa menangani kasus ini dengan baik. Dan telah kami limpahkan ke Oditur Militer yang tentunya akan memproses ini pada proses hukum yang selanjutnya,"" ungkap Chandra.Tidak Ada Celah Para Pelaku Kasus Nagreg Dapat Hukuman Ringan","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|0|4",T|E|R|U|N|G|K|A|P| |M|o|t|i|f| |S|e|b|e|n|a|r|n|y|a| |K|o|l|o|n|e|l| |P|r|i|y|a|n|t|o| |d|a|n| |2| |O|k|n|u|m| |T|N|I| |B|u|a|n|g| |K|o|r|b|a|n| |K|a|s|u|s| |N|a|g|r|e|g
"SURYA.co.id |SURABAYA - Pengurus Daerah Tunas Indonesia Raya Jawa Timur (PD Tidar Jatim) terus menggaungkan agar millenial tidak anti pada politik. Organisasi sayap partai Gerindra yang bergerak di sektor kepemudaan itu menyebut, millenial perlu turut andil dan memaksimalkan potensi.Hal ini dikemukakan Ryan Septrianto Maulana, Wakil Ketua PD Tidar Jatim yang hadir ke Gedung DPRD Jatim pada Kamis (6/1/2022) sore.Ryan bersama puluhan anak muda lainnya sesama pengurus PD Tidar Jatim, melakukan silaturahmi dengan Fraksi Partai Gerindra DPRD Jatim.""Ini silaturahmi awal dan juga untuk mendengar pengarahan. Karena sebelumnya kita ada proses yang cukup panjang dalam proses rekrutmen pengurus,"" kata Ryan seusai pertemuan.Puluhan millenial dari berbagai latar belakang itu berdiskusi dengan para wakil rakyat dari Partai Gerindra. Hadir secara langsung Ketua Fraksi Muhammad Fawait kemudian juga Noer Soetjipto yang dalam kesempatan itu juga memberikan wejangan.Potensi besar yang dimiliki kalangan millenial harus dioptimalkan. Apalagi, secara jumlah populasi anak muda berjumlah sangat besar. Sehingga, diharapkan tidak anti pada persoalan politik.Menurut Ryan, pihaknya memiliki komitmen untuk memberikan wadah bagi generasi muda untuk mengenal politik serta bisa tertarik berkiprah di dalamnya.""Harapannya Tidar Jatim ini bisa mengajak seluruh anak muda, minimal bisa peduli terhadap politik. Setelah itu, bisa tertarik dan akan kita buat program kerja untuk itu,"" ujarnya.Sementara itu, Noer Soetjipto berharap agar millenial yang berada dalam wadah Tidar Jatim memastikan peran secara optimal. Termasuk di tengah-tengah masyarakat. Sebagai generasi muda, mereka diharapkan dapat menjadi problem solver bagi masyarakat.""Kuncinya menemukan problem yang ada di masyarakat sekaligus memberikan solusi,"" ungkap Wakil Ketua DPD Partai Gerindra Jatim.Muhammad Fawait, Ketua Fraksi Partai Gerindra DPRD Jatim menyambut positif kedatangan puluhan millenial itu. Apalagi, mereka diketahui merupakan kumpulan figur yang kaya latar belakang dan profesi yang digeluti.""Komposisi antara laki-laki dan perempuan juga imbang,"" ujarnya.Legislator dari dapil Lumajang-Jember itu berharap penuh para generasi millenial dapat berkiprah mengisi percaturan politik tanah air termasuk Jawa Timur.""Politik harus diisi oleh orang-orang baik yang punya semangat tinggi, sehingga harapannya banyak anak muda masuk politik dan bisa membawa perubahan,"" terangnya.Di sisi lain, Gus Fawait juga menginginkan generasi millenial itu memberikan sumbangsih besar dalam penguatan target partai Gerindra. Termasuk dalam mengantar Ketua Umum mereka Prabowo Subianto di Pilpres 2024","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|0|8",T|i|d|a|r| |J|a|t|i|m| |G|a|u|n|g|k|a|n| |M|i|l|l|e|n|i|a|l| |J|a|n|g|a|n| |A|n|t|i| |P|o|l|i|t|i|k
"Berita PasuruanSURYA.co.id | PASURUAN - Ketua DPRD Kota Pasuruan Ismail Marzuki Hasan akhirnya angkat bicara terkait kasus yang menjerat salah satu anggotanya, Helmi dalam kasus dugaan penipuan dan penggelapan.""Kami masih mengedepankan asas praduga tak bersalah. Kami hormati semua proses hukum yang sedang berjalan,"" kata Ismail, sapaan akrab Ketua DPRD Kota Pasuruan, Kamis (6/1/2022).Dia menjelaskan kalau ditanya kinerjanya terganggu atau tidak, ia memastikan pekerjaan kedewanan tidak akan terganggu sekalipun posisi Helmi saat ini sudah ditahan di Lapas kelas II B.""Dia (Helmi) anggota DPRD Kota Pasuruan dari komisi III dan menjadi Ketua Bapemperda. Semuanya sudah ada wakilnya, saya kira tidak mengganggu kinerjanya. Kalau urusan PAW atau lainnya itu ranah partainya,"" urainya.Terpisah, Wiwin Ariesta, Kuasa Hukum Helmi mengatakan, kasus yang menjerat kliennya ini tidak ada kaitannya dengan pekerjaan dan statusnya sebagai anggota dewan Kota Pasuruan.""Ini murni urusan bisnis. Dalam bisnis hutang piutang itu adalah hal yang biasa, pinjam meminjam uang bukan hal yang tabu. Proses ini berjalan sudah sangat lama sekali,"" kata Wiwin.Wiwin, sapaan akrabnya, mengatakan jika proses ini berjalan sudah sejak tahun 2015 dan berjalan sampai tahun 2020. Selama ini pembayaran normal dan tidak ada masalah.Tiba-tiba, di tahun 2020, badai pandemi melanda, kliennya menjadi salah satu orang yang terdampak, karena bisnisnya terimbas pandemi.""Itupun kliennya saya masih berusaha bertanggung jawab,"" paparnya.Ia menyebut, kliennya memiliki itikad baik untuk menyelesaikan tanggung jawabnnya.Namun, sempat ada penolakan pembayaran oleh pelapor.Artinya, uang yang dibawa kliennya tidak diterima oleh pelapor.""Nah sebenarnya masalah ini diselesaikan kekeluargaan. Dan itu disepakati pak Helmi dan pelapor. Bahkan pak Helmi sudah melalukan pembayaran sampai lebih dari Rp 550 juta,"" paparnya.Ia berharap, jaksa mengabulkan permohonannya untuk penangguhan penahanan kliennya.Menurutnya, kliennya tidak akan berbuat hal yang tidak baik sehingga mengganggu jalannya proses hukum.""Kami berikan jaminan. Klien saya tidak akan melarikan diri atau bahkan menghilangkan barang bukti. Saya memohon jaksa mengabulkan permohonan kami , untuk penangguhan penahanan,"" pungkas dia.","K|a|m|i|s|,| |6| |J|a|n|u|a|r|i| |2|0|2|2| |2|3|:|1|2","1| |A|n|g|g|o|t|a| |D|i|t|a|h|a|n|,| |A|k|t|i|v|i|t|a|s| |D|P|R|D| |K|o|t|a| |P|a|s|u|r|u|a|n| |T|e|t|a|p| |B|e|r|j|a|l|a|n| |N|o|r|m|a|l"
